题号,本题所用时长,本题所用token数,累计时长,累计使用token数
1,31.9363,1950,31.9363,1950
2,37.04,1739,68.9764,3689
3,38.942,2093,107.9185,5782
4,45.1379,1900,153.0565,7682
5,39.2392,2169,192.2958,9851
6,37.5346,2063,229.8304,11914
7,38.1841,1874,268.0147,13788
8,37.5277,2076,305.5425,15864
9,39.9654,2477,345.508,18341
10,37.5963,1982,383.1044,20323
11,38.7518,2023,421.8563,22346
12,37.6485,2018,459.5049,24364
13,121.5066,8064,581.0115,32428
14,40.288,2447,621.2996,34875
15,38.7489,2041,660.0487,36916
16,39.7185,2231,699.7673,39147
17,39.3497,2095,739.1171,41242
18,54.6302,2080,793.7474,43322
19,44.7678,0,838.5153,43322
20,45.0675,0,883.5829,43322
21,45.2116,0,928.7946,43322
22,97.766,4193,1026.5607,47515
23,38.1796,1897,1064.7405,49412
24,38.8581,1779,1103.5987,51191
25,38.4474,1915,1142.0462,53106
26,38.0712,2142,1180.1175,55248
27,38.5286,2042,1218.6462,57290
28,38.0534,1901,1256.6997,59191
29,39.0292,1828,1295.729,61019
30,40.0107,1999,1335.7398,63018
31,38.6259,1939,1374.3658,64957
32,39.8297,2043,1414.1956,67000
33,37.9724,1755,1452.1681,68755
34,37.4904,1863,1489.6586,70618
35,42.1924,1857,1531.8511,72475
36,38.3724,1872,1570.2236,74347
37,41.9399,2104,1612.1636,76451
38,124.5372,9009,1736.7009,85460
39,38.3403,1964,1775.0413,87424
40,41.8226,2402,1816.864,89826
41,39.8285,1864,1856.6926,91690
42,38.4448,2234,1895.1376,93924
43,38.3532,1971,1933.4909,95895
44,40.1228,2258,1973.6138,98153
45,39.2926,2164,2012.9065,100317
46,37.5048,2258,2050.4114,102575
47,43.3866,2189,2093.7981,104764
48,37.5385,2049,2131.3367,106813
49,39.593,1809,2170.9298,108622
50,38.8691,1890,2209.799,110512
51,38.0247,1914,2247.8238,112426
52,38.8259,2199,2286.6498,114625
53,33.0337,2027,2319.6835,116652
54,39.4447,2223,2359.1283,118875
55,36.8527,2036,2395.9811,120911
56,38.6734,1826,2434.6546,122737
57,38.0998,1907,2472.7545,124644
58,38.472,2153,2511.2266,126797
59,39.2233,2341,2550.45,129138
60,37.8094,1679,2588.2595,130817
61,37.4979,1850,2625.7574,132667
62,37.0461,1877,2662.8036,134544
63,38.6437,2038,2701.4475,136582
64,38.6362,2120,2740.0838,138702
65,36.1929,2036,2776.2769,140738
66,39.2866,1957,2815.5636,142695
67,37.3978,2019,2852.9615,144714
68,37.7387,1927,2890.7004,146641
69,123.0962,7515,3013.7967,154156
70,38.6667,1869,3052.4635,156025
71,38.5601,2055,3091.0237,158080
72,37.5976,1838,3128.6213,159918
73,38.2977,1817,3166.9191,161735
74,38.4358,2017,3205.355,163752
75,36.296,2350,3241.6512,166102
76,38.3494,2265,3280.0007,168367
77,36.8684,2191,3316.8692,170558
78,36.8616,1890,3353.7309,172448
79,38.2196,2153,3391.9506,174601
80,39.6882,1773,3431.6389,176374
81,41.204,1990,3472.843,178364
82,40.7954,2077,3513.6385,180441
83,41.1171,1733,3554.7557,182174
84,39.0527,1937,3593.8085,184111
85,37.6363,1882,3631.4449,185993
86,94.6492,7198,3726.0942,193191
87,29.7271,2104,3755.8214,195295
88,32.5412,2492,3788.3626,197787
89,32.0219,1838,3820.3846,199625
90,32.2914,2150,3852.6761,201775
91,31.3247,2010,3884.0009,203785
92,86.8594,5685,3970.8604,209470
93,156.9012,14454,4127.7618,223924
94,205.3195,16775,4333.0815,240699
95,32.4267,2023,4365.5083,242722
96,32.1683,1886,4397.6766,244608
97,33.3537,1783,4431.0304,246391
98,33.3171,1992,4464.3477,248383
99,34.0018,2291,4498.3496,250674
100,32.406,2100,4530.7557,252774
101,33.5385,2285,4564.2944,255059
102,31.2835,2024,4595.5779,257083
103,31.082,2112,4626.6601,259195
104,32.3899,1936,4659.0501,261131
105,32.128,1912,4691.1782,263043
106,31.5135,1721,4722.6917,264764
107,30.6328,2126,4753.3247,266890
108,110.7372,9566,4864.062,276456
109,40.4255,2185,4904.4876,278641
110,33.9064,2068,4938.3941,280709
111,31.347,2000,4969.7413,282709
112,34.9979,2391,5004.7393,285100
113,32.9155,1960,5037.6548,287060
114,34.5471,1724,5072.202,288784
115,30.167,2070,5102.3692,290854
116,32.9177,2281,5135.287,293135
117,32.9559,1922,5168.243,295057
118,29.5421,1714,5197.7852,296771
119,30.8252,2022,5228.6105,298793
120,89.9095,10686,5318.5201,309479
121,32.1042,1863,5350.6244,311342
122,32.1374,1923,5382.7619,313265
123,30.371,2173,5413.133,315438
124,31.4072,1909,5444.5403,317347
125,31.3181,2030,5475.8585,319377
126,34.406,2370,5510.2646,321747
127,30.9746,1815,5541.2393,323562
128,146.9121,9405,5688.1516,332967
129,31.0638,2225,5719.2156,335192
130,96.8998,8118,5816.1155,343310
131,33.8104,1972,5849.9259,345282
132,30.9776,1728,5880.9037,347010
133,31.8686,2066,5912.7724,349076
134,41.4488,1906,5954.2213,350982
135,32.2142,1733,5986.4356,352715
136,102.8379,7555,6089.2736,360270
137,32.4347,1768,6121.7084,362038
138,32.0066,2329,6153.7151,364367
139,31.5541,2092,6185.2693,366459
140,32.9248,2099,6218.1942,368558
141,29.6318,1762,6247.8262,370320
142,30.1269,1966,6277.9532,372286
143,32.8879,2075,6310.8411,374361
144,32.1593,2121,6343.0006,376482
145,31.0373,2535,6374.038,379017
146,29.8891,1879,6403.9272,380896
147,34.4577,2068,6438.385,382964
148,116.6182,9983,6555.0033,392947
149,29.4649,1869,6584.4683,394816
150,30.8756,1800,6615.344,396616
151,32.6716,2387,6648.0158,399003
152,78.5292,6881,6726.5451,405884
153,30.4646,2044,6757.0098,407928
154,32.8681,2618,6789.878,410546
155,31.8005,2324,6821.6787,412870
156,78.8931,8397,6900.5719,421267
157,30.2408,2049,6930.8128,423316
158,34.5246,2500,6965.3376,425816
159,99.6167,7414,7064.9543,433230
160,81.0442,7441,7145.9986,440671
161,73.022,6305,7219.0207,446976
162,31.8555,2360,7250.8764,449336
163,33.0884,2012,7283.9648,451348
164,31.0592,2054,7315.0241,453402
165,31.0121,1935,7346.0363,455337
166,31.3541,2104,7377.3905,457441
167,30.2804,1830,7407.6709,459271
168,70.0504,5643,7477.7215,464914
169,30.636,1735,7508.3576,466649
170,32.8761,1820,7541.2337,468469
171,32.382,1971,7573.6159,470440
172,30.8746,2045,7604.4906,472485
173,29.9472,2154,7634.4379,474639
174,31.1964,2218,7665.6344,476857
175,31.6656,2416,7697.3001,479273
176,31.21,2063,7728.5102,481336
177,34.5507,1879,7763.061,483215
178,31.6033,2448,7794.6644,485663
179,30.3475,1924,7825.012,487587
180,32.1391,1848,7857.1512,489435
181,29.9479,1796,7887.0992,491231
182,37.9674,2303,7925.0667,493534
183,86.6932,6464,8011.76,499998
184,30.1571,2337,8041.9172,502335
185,35.0178,2110,8076.9351,504445
186,30.4866,1750,8107.4217,506195
187,31.0212,2618,8138.4429,508813
188,144.4833,16711,8282.9263,525524
189,25.8293,2024,8308.7558,527548
190,25.3315,2062,8334.0874,529610
191,30.8127,1732,8364.9001,531342
192,26.2945,1796,8391.1947,533138
193,26.3932,2132,8417.588,535270
194,25.9756,2389,8443.5638,537659
195,25.738,1771,8469.3019,539430
196,25.5837,1790,8494.8857,541220
197,82.579,7142,8577.4649,548362
198,25.423,1778,8602.888,550140
199,27.2185,2223,8630.1066,552363
200,27.3083,2114,8657.4151,554477
201,32.0583,2130,8689.4734,556607
202,27.7864,2290,8717.26,558897
203,27.1024,1829,8744.3625,560726
204,88.3529,9440,8832.7155,570166
205,25.4967,2002,8858.2123,572168
206,26.8849,2582,8885.0973,574750
207,27.458,2370,8912.5555,577120
208,25.6457,1989,8938.2012,579109
209,28.0766,1974,8966.278,581083
210,82.2942,8039,9048.5723,589122
211,30.2479,2355,9078.8202,591477
212,30.6256,2090,9109.4459,593567
213,30.9357,2042,9140.3818,595609
214,32.4248,2036,9172.8067,597645
215,30.2656,2492,9203.0723,600137
216,33.0603,2106,9236.1327,602243
217,29.9675,2017,9266.1003,604260
218,30.3685,1751,9296.469,606011
219,30.2329,2021,9326.7019,608032
220,31.6609,2048,9358.3629,610080
221,29.9765,1911,9388.3396,611991
222,30.083,1948,9418.4226,613939
223,30.2297,1726,9448.6524,615665
224,42.1108,1831,9490.7634,617496
225,30.9016,1864,9521.665,619360
226,30.3731,1882,9552.0383,621242
227,32.3497,2141,9584.3881,623383
228,32.2326,2435,9616.6208,625818
229,28.0052,1937,9644.6261,627755
230,30.7725,2189,9675.3988,629944
231,27.4856,2116,9702.8845,632060
232,29.7235,1914,9732.6081,633974
233,28.9965,1951,9761.6047,635925
234,27.9196,1946,9789.5244,637871
235,93.3971,9560,9882.9216,647431
236,27.8151,1920,9910.7368,649351
237,29.4532,2291,9940.1901,651642
238,28.544,1748,9968.7342,653390
239,27.325,1851,9996.0593,655241
240,29.1459,2228,10025.2054,657469
241,27.0583,1801,10052.2639,659270
242,26.5808,1829,10078.8448,661099
243,31.2866,2084,10110.1314,663183
244,27.3808,1988,10137.5124,665171
245,70.8367,6765,10208.3492,671936
246,27.5345,2050,10235.8838,673986
247,27.8263,2252,10263.7102,676238
248,27.836,2054,10291.5463,678292
249,27.6066,1884,10319.153,680176
250,27.0585,2180,10346.2116,682356
251,91.7177,8943,10437.9294,691299
252,26.8921,1758,10464.8216,693057
253,27.9013,2073,10492.7229,695130
254,28.0926,1784,10520.8157,696914
255,30.7188,2238,10551.5346,699152
256,85.9384,7753,10637.4731,706905
257,29.2218,2369,10666.695,709274
258,26.7654,2002,10693.4605,711276
259,29.6593,1918,10723.1198,713194
260,26.792,2149,10749.9119,715343
261,28.1531,2023,10778.0651,717366
262,28.0384,1830,10806.1036,719196
263,27.2819,1759,10833.3855,720955
264,26.4074,1950,10859.7931,722905
265,26.1177,1790,10885.9109,724695
266,28.209,2191,10914.12,726886
267,27.7914,2129,10941.9115,729015
268,27.6413,2185,10969.5529,731200
269,27.2528,1952,10996.8058,733152
270,26.7059,1769,11023.5117,734921
271,27.8254,1976,11051.3372,736897
272,28.1045,1889,11079.4418,738786
273,26.6963,1800,11106.1382,740586
274,27.9861,2203,11134.1243,742789
275,28.1701,1984,11162.2945,744773
276,96.0097,9999,11258.3043,754772
277,28.0543,2235,11286.3587,757007
278,28.1264,1967,11314.4852,758974
279,28.8444,1806,11343.3298,760780
280,32.455,2232,11375.7849,763012
281,27.6415,1817,11403.4265,764829
282,28.5626,2223,11431.9891,767052
283,30.3778,2000,11462.3671,769052
284,26.6991,2116,11489.0662,771168
285,28.0231,2332,11517.0894,773500
286,26.747,1693,11543.8365,775193
287,30.564,1906,11574.4006,777099
288,27.555,2059,11601.9557,779158
289,27.0808,1852,11629.0366,781010
290,29.2326,2166,11658.2693,783176
291,30.5204,2120,11688.7898,785296
292,26.208,1901,11714.9979,787197
293,27.6211,1994,11742.6191,789191
294,27.4687,2204,11770.0879,791395
295,27.1438,1875,11797.2319,793270
296,29.0135,2236,11826.2454,795506
297,29.2334,2146,11855.4789,797652
298,44.3368,2088,11899.8158,799740
299,28.2005,2080,11928.0164,801820
300,30.3948,2311,11958.4114,804131
301,29.1575,1870,11987.5689,806001
302,29.9053,2035,12017.4743,808036
303,26.7238,1757,12044.1982,809793
304,27.8687,2223,12072.067,812016
305,33.5756,2476,12105.6427,814492
306,28.8402,1681,12134.483,816173
307,27.7348,1940,12162.2179,818113
308,28.0378,1973,12190.2559,820086
309,27.9665,1957,12218.2225,822043
310,29.3493,1949,12247.5718,823992
311,29.4366,2280,12277.0085,826272
312,27.9203,1944,12304.9289,828216
313,26.7864,1727,12331.7155,829943
314,28.7512,2170,12360.4668,832113
315,27.9389,2017,12388.4058,834130
316,72.531,7783,12460.9369,841913
317,28.0086,2083,12488.9455,843996
318,27.37,1797,12516.3156,845793
319,43.6328,2074,12559.9484,847867
320,28.574,2219,12588.5226,850086
321,27.6688,1942,12616.1915,852028
322,26.9393,1766,12643.1309,853794
323,88.6523,9106,12731.7833,862900
324,27.1213,2138,12758.9047,865038
325,28.1653,1911,12787.07,866949
326,27.8888,2318,12814.959,869267
327,27.5236,2130,12842.4827,871397
328,27.8235,2316,12870.3063,873713
329,26.7907,1831,12897.0971,875544
330,27.5844,1853,12924.6816,877397
331,72.9173,7397,12997.599,884794
332,28.5474,2692,13026.1465,887486
333,28.5227,1747,13054.6693,889233
334,30.9454,2068,13085.6148,891301
335,26.3593,1829,13111.9742,893130
336,28.9728,1971,13140.9471,895101
337,30.1478,2231,13171.0949,897332
338,155.4208,13237,13326.5159,910569
339,28.9115,1924,13355.4276,912493
340,29.2095,1948,13384.6372,914441
341,61.9835,5884,13446.6208,920325
342,32.2179,2332,13478.8388,922657
343,28.3438,1917,13507.1827,924574
344,25.391,2018,13532.5737,926592
345,25.5628,1823,13558.1366,928415
346,26.0572,1799,13584.1939,930214
347,26.3138,2053,13610.5079,932267
348,25.3907,1841,13635.8987,934108
349,29.138,1992,13665.0368,936100
350,26.6558,2013,13691.6927,938113
351,25.7335,2091,13717.4264,940204
352,26.2068,1942,13743.6333,942146
353,25.0123,1832,13768.6457,943978
354,85.3791,9601,13854.0249,953579
355,86.3891,8341,13940.4141,961920
356,25.695,1967,13966.1092,963887
357,28.0905,2261,13994.1999,966148
358,26.7904,2449,14020.9904,968597
359,28.4501,2243,14049.4407,970840
360,27.2293,2370,14076.6701,973210
361,27.6396,1897,14104.3099,975107
362,25.9567,2398,14130.2667,977505
363,25.8457,2175,14156.1125,979680
364,25.7999,2202,14181.9125,981882
365,25.0163,1842,14206.9289,983724
366,24.676,1723,14231.605,985447
367,24.768,1847,14256.3732,987294
368,25.701,2186,14282.0743,989480
369,68.8821,7026,14350.9566,996506
370,26.2483,2313,14377.205,998819
371,25.7741,1858,14402.9792,1000677
372,85.1559,8547,14488.1353,1009224
373,33.1253,2116,14521.2607,1011340
374,30.7662,2045,14552.027,1013385
375,29.8297,1850,14581.8568,1015235
376,28.0541,1880,14609.9111,1017115
377,30.6245,1898,14640.5357,1019013
378,29.9056,2028,14670.4415,1021041
379,31.5281,1874,14701.9697,1022915
380,32.4855,1754,14734.4553,1024669
381,83.2229,7771,14817.6783,1032440
382,29.9952,1776,14847.6736,1034216
383,33.2138,2196,14880.8875,1036412
384,32.8099,2270,14913.6975,1038682
385,30.8661,1955,14944.5638,1040637
386,33.0093,2172,14977.5731,1042809
387,30.3781,1970,15007.9513,1044779
388,29.479,1705,15037.4304,1046484
389,33.5123,2039,15070.9427,1048523
390,31.964,1979,15102.9068,1050502
391,33.8527,2075,15136.7596,1052577
392,30.6361,1937,15167.3958,1054514
393,34.578,1966,15201.9739,1056480
394,95.5627,7618,15297.5367,1064098
395,30.1487,1852,15327.6855,1065950
396,33.9012,2364,15361.5868,1068314
397,30.8964,2044,15392.4834,1070358
398,35.6394,1997,15428.1229,1072355
399,30.01,1995,15458.133,1074350
400,31.8449,1908,15489.978,1076258
401,30.6612,1748,15520.6393,1078006
402,31.5198,1909,15552.1592,1079915
403,32.0868,2189,15584.2461,1082104
404,82.0053,7653,15666.2515,1089757
405,30.2635,1966,15696.5151,1091723
406,31.1821,2296,15727.6973,1094019
407,31.7353,2318,15759.4327,1096337
408,120.758,8808,15880.1908,1105145
409,30.7095,2146,15910.9004,1107291
410,104.1067,9836,16015.0072,1117127
411,31.1821,2326,16046.1894,1119453
412,30.8557,2160,16077.0453,1121613
413,31.3775,1934,16108.4229,1123547
414,101.5695,8476,16209.9925,1132023
415,34.1407,1990,16244.1334,1134013
416,116.2553,10561,16360.3888,1144574
417,38.8422,1979,16399.2312,1146553
418,39.8721,2244,16439.1037,1148797
419,40.0606,1841,16479.1645,1150638
420,39.7807,2172,16518.9452,1152810
421,39.9201,1933,16558.8655,1154743
422,41.1528,2013,16600.0184,1156756
423,41.9087,2371,16641.9275,1159127
424,210.2169,20947,16852.1445,1180074
425,40.6471,1952,16892.7917,1182026
426,131.8952,10693,17024.687,1192719
427,42.0893,2075,17066.7767,1194794
428,41.4246,2251,17108.2017,1197045
429,42.6158,2195,17150.8177,1199240
430,44.6634,2012,17195.4813,1201252
431,40.89,2197,17236.3719,1203449
432,40.8435,1969,17277.2161,1205418
433,43.3569,2027,17320.5731,1207445
434,42.2463,2124,17362.8196,1209569
435,40.9086,2061,17403.7283,1211630
436,40.1041,1791,17443.8326,1213421
437,40.3417,1897,17484.1751,1215318
438,41.9575,1922,17526.1326,1217240
439,40.9151,2230,17567.0481,1219470
440,63.4955,2294,17630.5437,1221764
441,41.1344,1879,17671.6785,1223643
442,41.8133,2110,17713.492,1225753
443,44.1575,2163,17757.6496,1227916
444,39.8622,2367,17797.5123,1230283
445,41.827,1886,17839.3395,1232169
446,43.7906,2159,17883.1306,1234328
447,43.8907,2062,17927.0227,1236390
448,42.0768,1829,17969.1,1238219
449,45.1636,2124,18014.2637,1240343
450,39.352,1790,18053.6162,1242133
451,40.1504,2277,18093.767,1244410
452,39.1707,1957,18132.9382,1246367
453,39.514,1954,18172.4523,1248321
454,38.8581,2127,18211.3113,1250448
455,99.4447,6553,18310.7564,1257001
456,98.033,7584,18408.79,1264585
457,40.4228,1992,18449.2129,1266577
458,40.4905,2031,18489.7036,1268608
459,42.2489,1821,18531.9529,1270429
460,40.2741,2579,18572.2271,1273008
461,133.861,7951,18706.0882,1280959
462,136.1706,7372,18842.2589,1288331
463,38.932,1635,18881.191,1289966
464,40.6097,1852,18921.8008,1291818
465,40.1525,1991,18961.9538,1293809
466,40.3311,2031,19002.2854,1295840
467,40.822,2218,19043.1079,1298058
468,39.6555,2000,19082.7635,1300058
469,40.5401,2199,19123.3037,1302257
470,39.9092,1864,19163.213,1304121
471,39.7491,1879,19202.9623,1306000
472,41.6403,2043,19244.6027,1308043
473,40.3149,2050,19284.9178,1310093
474,40.9949,1985,19325.9132,1312078
475,40.3444,1855,19366.2577,1313933
476,40.4449,1943,19406.7027,1315876
477,42.5546,2000,19449.2574,1317876
478,138.4635,8009,19587.7211,1325885
479,41.5811,1889,19629.3023,1327774
480,42.0263,2128,19671.3288,1329902
481,38.9936,1942,19710.3225,1331844
482,39.5935,1862,19749.9161,1333706
483,39.9385,2005,19789.8547,1335711
484,39.6654,2012,19829.5203,1337723
485,40.0264,1874,19869.5468,1339597
486,41.2808,1789,19910.8277,1341386
487,37.8806,1744,19948.7084,1343130
488,38.5482,2039,19987.2568,1345169
489,40.979,1766,20028.2359,1346935
490,42.1037,1994,20070.3397,1348929
491,41.2793,1797,20111.6191,1350726
492,39.3071,1789,20150.9263,1352515
