题号,本题所用时长,本题所用token数,累计时长,累计使用token数
1,10.7922,105,10.7922,105
2,9.657,86,20.4494,191
3,10.6482,178,31.0977,369
4,11.0627,156,42.1604,525
5,12.6383,100,54.7988,625
6,16.046,240,70.845,865
7,15.4758,147,86.3209,1012
8,15.1052,248,101.4262,1260
9,14.7957,125,116.222,1385
10,15.8822,227,132.1043,1612
11,17.6603,142,149.7647,1754
12,14.3578,161,164.1226,1915
13,14.7427,163,178.8654,2078
14,14.5018,105,193.3673,2183
15,14.7803,110,208.1476,2293
16,14.1927,218,222.3404,2511
17,14.7519,214,237.0924,2725
18,14.428,130,251.5206,2855
19,13.6831,130,265.2038,2985
20,14.1501,165,279.354,3150
21,16.7998,88,296.1539,3238
22,14.3077,72,310.4617,3310
23,13.9973,161,324.4591,3471
24,14.6588,108,339.118,3579
25,13.8023,95,352.9204,3674
26,14.0884,204,367.0089,3878
27,14.4171,155,381.4261,4033
28,14.623,275,396.0493,4308
29,14.203,104,410.2523,4412
30,14.6693,87,424.9217,4499
31,14.2747,198,439.1964,4697
32,14.2809,142,453.4774,4839
33,14.9047,109,468.3823,4948
34,13.7702,148,482.1526,5096
35,14.3307,76,496.4834,5172
36,14.0616,122,510.5452,5294
37,14.0552,152,524.6004,5446
38,14.6269,91,539.2274,5537
39,14.2953,231,553.5228,5768
40,14.1938,181,567.7167,5949
41,14.7489,191,582.4657,6140
42,13.7616,171,596.2274,6311
43,15.7692,178,611.9969,6489
44,14.6683,106,626.6653,6595
45,14.0035,178,640.6689,6773
46,14.1394,134,654.8084,6907
47,15.8576,251,670.6661,7158
48,14.7357,192,685.402,7350
49,13.7244,102,699.1265,7452
50,14.0839,100,713.2105,7552
51,13.932,113,727.1426,7665
52,13.4308,152,740.5735,7817
53,13.6698,174,754.2434,7991
54,13.7577,147,768.0012,8138
55,13.6167,154,781.618,8292
56,13.8789,87,795.497,8379
57,16.8738,264,812.3709,8643
58,13.6913,157,826.0623,8800
59,13.3972,189,839.4597,8989
60,15.2842,303,854.7439,9292
61,13.896,164,868.64,9456
62,17.8353,149,886.4754,9605
63,13.762,126,900.2375,9731
64,13.9,197,914.1375,9928
65,13.436,88,927.5736,10016
66,13.8382,164,941.4119,10180
67,14.4112,188,955.8232,10368
68,13.4929,122,969.3162,10490
69,13.2627,150,982.579,10640
70,13.943,157,996.5221,10797
71,13.4404,164,1009.9626,10961
72,13.7581,95,1023.7208,11056
73,14.3015,154,1038.0224,11210
74,13.2752,98,1051.2977,11308
75,13.4659,100,1064.7637,11408
76,14.0278,125,1078.7915,11533
77,14.7983,276,1093.5899,11809
78,14.308,196,1107.898,12005
79,13.8587,162,1121.7568,12167
80,13.269,132,1135.0259,12299
81,13.9422,114,1148.9682,12413
82,14.0112,132,1162.9795,12545
83,12.8063,119,1175.7859,12664
84,14.8659,215,1190.652,12879
85,14.9093,103,1205.5613,12982
86,13.4764,152,1219.0378,13134
87,13.7348,83,1232.7727,13217
88,13.0193,83,1245.7921,13300
89,13.6937,88,1259.486,13388
90,14.4181,188,1273.9042,13576
91,13.0559,130,1286.9602,13706
92,13.6313,92,1300.5915,13798
93,14.0946,176,1314.6863,13974
94,13.4655,125,1328.1519,14099
95,13.8399,165,1341.9919,14264
96,14.3928,99,1356.3848,14363
97,15.7424,447,1372.1273,14810
98,14.0632,123,1386.1906,14933
