题号,本题所用时长,本题所用token数,累计时长,累计使用token数
1,156.3463,9323,156.3463,9323
2,181.5425,9363,337.8889,18686
3,73.9909,4526,411.8799,23212
4,164.8058,10024,576.6858,33236
5,97.4602,5374,674.1461,38610
6,104.3477,6724,778.4939,45334
7,165.4606,10558,943.9546,55892
8,174.2964,12499,1118.2511,68391
9,170.1802,10920,1288.4314,79311
10,98.3656,6532,1386.7971,85843
11,150.2742,10234,1537.0715,96077
12,76.4483,5346,1613.5199,101423
13,78.8219,5376,1692.3419,106799
14,95.8933,5089,1788.2353,111888
15,158.8794,9816,1947.1148,121704
16,169.5009,11471,2116.6158,133175
17,158.0046,12840,2274.621,146015
18,137.4565,9243,2412.0775,155258
19,134.0892,9837,2546.1668,165095
20,128.4549,9974,2674.6219,175069
21,138.2498,9900,2812.8719,184969
22,133.3419,9187,2946.2139,194156
23,79.3091,5422,3025.5232,199578
24,126.3093,5400,3151.8326,204978
25,108.4865,5037,3260.3193,210015
26,183.566,11337,3443.8854,221352
27,198.7813,12173,3642.6668,233525
28,108.6318,7006,3751.2988,240531
29,85.0381,4606,3836.337,245137
30,185.0541,9181,4021.3913,254318
31,184.1226,11224,4205.514,265542
32,83.9009,5060,4289.415,270602
33,193.818,9622,4483.2331,280224
34,260.5823,14298,4743.8155,294522
35,258.9711,12925,5002.7867,307447
36,218.9807,9536,5221.7675,316983
37,189.3439,10421,5411.1116,327404
38,88.0002,4947,5499.1119,332351
39,209.4943,11505,5708.6063,343856
40,190.8099,10773,5899.4163,354629
41,190.1715,12112,6089.5879,366741
42,184.7895,11021,6274.3776,377762
43,166.4855,10784,6440.8632,388546
44,165.5552,9457,6606.4185,398003
45,190.7199,11859,6797.1386,409862
46,276.3164,15089,7073.4551,424951
47,119.578,6703,7193.0333,431654
48,172.2279,11411,7365.2613,443065
49,169.3035,9162,7534.5649,452227
50,108.2826,4567,7642.8476,456794
51,91.4746,4687,7734.3224,461481
52,169.753,9952,7904.0755,471433
53,102.119,5966,8006.1946,477399
54,103.3569,5978,8109.5516,483377
55,80.9757,5186,8190.5274,488563
56,161.5588,9609,8352.0863,498172
57,165.1236,13406,8517.2101,511578
58,183.7783,10246,8700.9885,521824
59,158.204,10471,8859.2191,532295
60,159.4107,12347,9018.63,544642
61,102.0478,6365,9120.6779,551007
62,148.455,9816,9269.1331,560823
63,160.8607,10501,9429.9939,571324
64,75.8593,5641,9505.8533,576965
65,252.5131,13954,9758.3665,590919
66,92.5867,5541,9850.9534,596460
67,164.8772,12201,10015.8307,608661
68,93.5753,5210,10109.4061,613871
69,155.02,10639,10264.4263,624510
70,148.1831,9664,10412.6095,634174
71,163.4796,11204,10576.0893,645378
72,77.1796,4728,10653.2691,650106
73,216.3058,15668,10869.575,665774
74,94.6979,5379,10964.273,671153
75,184.2206,9671,11148.4936,680824
76,91.5081,5173,11240.0019,685997
77,164.2244,12150,11404.2264,698147
78,91.033,5921,11495.2595,704068
79,158.4443,11379,11653.704,715447
80,169.4169,12280,11823.121,727727
81,163.948,10366,11987.0691,738093
82,146.9451,9489,12134.0143,747582
83,163.2728,10096,12297.2872,757678
84,161.0786,12168,12458.3659,769846
85,223.5689,13637,12681.9349,783483
86,140.8301,9917,12822.765,793400
87,155.6791,8784,12978.4442,802184
88,201.1013,13649,13179.5457,815833
89,100.5099,4925,13280.0557,820758
90,98.52,5854,13378.5758,826612
91,223.14,14699,13601.7159,841311
92,234.4085,14973,13836.1245,856284
93,167.0038,10936,14003.1285,867220
94,143.217,10797,14146.3456,878017
95,141.3414,10470,14287.6871,888487
96,89.9571,4788,14377.6443,893275
97,145.1104,12209,14522.7548,905484
98,91.699,5362,14614.4539,910846
99,141.8072,9425,14756.2612,920271
100,162.9766,10780,14919.238,931051
101,93.3801,6213,15012.6182,937264
102,162.3705,10118,15174.9888,947382
103,170.2003,10900,15345.1892,958282
104,157.7554,9691,15502.9447,967973
105,227.0171,14685,15729.9619,982658
106,75.9175,5241,15805.8795,987899
107,79.1739,5933,15885.0535,993832
108,144.9597,10869,16030.0133,1004701
109,92.688,6499,16122.7014,1011200
110,140.9914,11544,16263.6929,1022744
111,140.5987,9927,16404.2918,1032671
112,161.6021,10678,16565.894,1043349
113,139.5199,10445,16705.414,1053794
114,159.8685,10229,16865.2826,1064023
115,180.1997,11040,17045.4825,1075063
116,146.8594,10654,17192.342,1085717
117,176.1297,9493,17368.4718,1095210
118,90.9947,5908,17459.4667,1101118
